method,clustering,seed,num_periods,cost,time,distance,data,loss,loss_ct
cross_scenario,k_medoids,3452769998,37,4.41777e7,22.9106833,CosineDist,centered,8896.027796,7
cross_scenario,k_medoids,4262333788,37,4.41801e7,20.0886426,CosineDist,centered,10611.477184,7
cross_scenario,k_medoids,45994245,37,4.41888e7,21.9260907,CosineDist,centered,8330.554171,7
cross_scenario,k_medoids,67569244,37,4.41722e7,24.403935,CosineDist,centered,9171.568816,7
cross_scenario,k_medoids,814300562,37,4.41829e7,21.7861259,CosineDist,centered,7913.946952,7
cross_scenario,k_medoids,870981686,37,4.41786e7,23.7617187,CosineDist,centered,7997.250883,7
cross_scenario,k_medoids,1129760376,39,4.41832e7,24.6631343,CosineDist,centered,9029.310894,7
cross_scenario,k_medoids,148104383,39,4.41771e7,23.2854518,CosineDist,centered,9769.392788,7
cross_scenario,k_medoids,1655289285,39,4.41876e7,25.0166318,CosineDist,centered,9098.403505999999,7
cross_scenario,k_medoids,1845695973,39,4.41848e7,27.6275519,CosineDist,centered,7533.5839430000005,7
cross_scenario,k_medoids,2121257682,39,4.41861e7,23.3322519,CosineDist,centered,7977.696137,7
cross_scenario,k_medoids,2943233938,39,4.41825e7,24.681551,CosineDist,centered,8794.067546999999,7
cross_scenario,k_medoids,3030918353,39,4.41752e7,25.5607795,CosineDist,centered,8369.74665,7
cross_scenario,k_medoids,3096268031,39,4.41735e7,27.0706796,CosineDist,centered,9403.076349,7
cross_scenario,k_medoids,3338611973,39,9.20823e7,27.5747569,CosineDist,centered,1.288237322179e6,249
cross_scenario,k_medoids,662283236,39,4.41837e7,27.0704852,CosineDist,centered,8506.644728,7
cross_scenario,k_medoids,1005104349,41,4.41787e7,25.7684236,CosineDist,centered,9280.553409,7
cross_scenario,k_medoids,1534696584,41,4.41766e7,26.3054289,CosineDist,centered,9644.298764000001,7
cross_scenario,k_medoids,225016911,41,9.50087e7,27.6904115,CosineDist,centered,1.362263264071e6,277
cross_scenario,k_medoids,2317592996,41,4.41802e7,25.4226746,CosineDist,centered,9477.821775,7
cross_scenario,k_medoids,2716090479,41,4.41801e7,23.8467531,CosineDist,centered,9549.861741,7
cross_scenario,k_medoids,3258958499,41,4.41872e7,25.6970412,CosineDist,centered,8696.3386,7
cross_scenario,k_medoids,329433595,41,4.4174e7,27.912391,CosineDist,centered,9179.908135,7
cross_scenario,k_medoids,3444774395,41,4.41788e7,30.4001569,CosineDist,centered,9883.922661999999,7
cross_scenario,k_medoids,438234340,41,4.4172e7,27.186584,CosineDist,centered,8956.118314,7
cross_scenario,k_medoids,953901905,41,4.41798e7,27.5996285,CosineDist,centered,10512.533271,7
cross_scenario,k_medoids,1660595499,5,1.22078e8,1.4816505,CosineDist,centered,2.0527631005939997e6,677
cross_scenario,k_medoids,1714105051,5,4.43006e7,1.4682616,CosineDist,centered,7207.87729,8
cross_scenario,k_medoids,2169593505,5,1.17513e8,1.7097522,CosineDist,centered,1.9371597572540003e6,619
cross_scenario,k_medoids,2538991366,5,1.40235e8,1.2915964,CosineDist,centered,2.533986665414e6,917
cross_scenario,k_medoids,2909674750,5,1.34855e8,1.6066345,CosineDist,centered,2.3984384603520003e6,854
cross_scenario,k_medoids,3018546641,5,1.16841e8,1.4767443,CosineDist,centered,1.9189879359849999e6,626
cross_scenario,k_medoids,3634057553,5,1.19739e8,1.4529944,CosineDist,centered,1.9926652117050001e6,611
cross_scenario,k_medoids,4139823947,5,1.3178e8,1.4353382,CosineDist,centered,2.3207058060890003e6,906
cross_scenario,k_medoids,4197766176,5,1.35598e8,1.3285386,CosineDist,centered,2.41664741076e6,841
cross_scenario,k_medoids,5947179,5,1.31171e8,1.4084096,CosineDist,centered,2.3040442983080004e6,851
cross_scenario,k_medoids,1006581332,7,1.2207e8,2.027632,CosineDist,centered,2.0749747504090003e6,747
cross_scenario,k_medoids,1176932870,7,4.88465e7,2.2168339,CosineDist,centered,143393.33939400004,87
cross_scenario,k_medoids,1821427372,7,1.2883e8,2.3498847,CosineDist,centered,2.2459347822369994e6,746
cross_scenario,k_medoids,2689963385,7,1.76991e8,2.2040797,CosineDist,centered,3.4834002841249993e6,1482
cross_scenario,k_medoids,2751971336,7,9.68205e7,2.5158654,CosineDist,centered,1.4084816677769998e6,345
cross_scenario,k_medoids,3385142830,7,1.00604e8,2.9170217,CosineDist,centered,1.5064868809840002e6,361
cross_scenario,k_medoids,3409620994,7,1.1039e8,1.9329459,CosineDist,centered,1.7709795419580005e6,576
cross_scenario,k_medoids,447101461,7,1.12524e8,2.2299685,CosineDist,centered,1.823479739907e6,604
cross_scenario,k_medoids,468006976,7,9.87699e7,2.3604041,CosineDist,centered,1.4715958897809999e6,439
cross_scenario,k_medoids,880982686,7,1.42334e8,2.2303998,CosineDist,centered,2.594424986331e6,1058
cross_scenario,k_medoids,1130292821,9,1.22137e8,2.7430653,CosineDist,centered,2.0762714965770002e6,678
cross_scenario,k_medoids,1392296365,9,4.89881e7,2.8397059,CosineDist,centered,145744.76260699998,89
cross_scenario,k_medoids,2814468992,9,1.00917e8,3.6112597,CosineDist,centered,1.5129813740250003e6,403
cross_scenario,k_medoids,3044209910,9,1.03786e8,2.8591035,CosineDist,centered,1.604066766246e6,492
cross_scenario,k_medoids,3261319673,9,4.75667e7,2.6154359,CosineDist,centered,110976.81048,65
cross_scenario,k_medoids,3543870990,9,4.4218e7,3.2756585,CosineDist,centered,7496.54178,7
cross_scenario,k_medoids,3602499071,9,1.37597e8,3.1073261,CosineDist,centered,2.466416427491e6,803
cross_scenario,k_medoids,3926221275,9,9.45384e7,2.7115141,CosineDist,centered,1.344903384925e6,331
cross_scenario,k_medoids,42413356,9,1.41208e8,3.1104919,CosineDist,centered,2.557939476152e6,918
cross_scenario,k_medoids,697383862,9,1.05313e8,2.5619599,CosineDist,centered,1.6434018012770007e6,495
cross_scenario,k_medoids,1355586937,11,4.89082e7,2.9467338,SqEuclidean,centered,145744.76260699998,89
cross_scenario,k_medoids,1768760743,11,4.42247e7,3.4348632,SqEuclidean,centered,6963.312043999999,7
cross_scenario,k_medoids,2652796558,11,4.89608e7,3.8978548,SqEuclidean,centered,145744.76260699998,89
cross_scenario,k_medoids,3000698040,11,4.88701e7,2.9765296,SqEuclidean,centered,143393.33939400004,87
cross_scenario,k_medoids,3160233726,11,4.4228e7,3.4068953,SqEuclidean,centered,6077.561197,7
cross_scenario,k_medoids,3479820580,11,8.79245e7,3.5351802,SqEuclidean,centered,1.1885997222720003e6,321
cross_scenario,k_medoids,3649546841,11,1.14953e8,3.5978042,SqEuclidean,centered,1.89180828166e6,548
cross_scenario,k_medoids,4031091536,11,4.42664e7,3.2534391,SqEuclidean,centered,6587.222392,7
cross_scenario,k_medoids,675182737,11,9.97244e7,3.5004196,SqEuclidean,centered,1.5005379124439997e6,407
cross_scenario,k_medoids,722170199,11,1.02319e8,4.1688065,SqEuclidean,centered,1.565990110001e6,425
cross_scenario,k_medoids,1020330993,13,9.78456e7,5.755144,SqEuclidean,centered,1.434920880928e6,370
cross_scenario,k_medoids,1241334511,13,1.26799e8,5.3834675,SqEuclidean,centered,2.1858426544290003e6,707
cross_scenario,k_medoids,1561739573,13,1.0293e8,4.6008268,SqEuclidean,centered,1.5646724500640002e6,352
cross_scenario,k_medoids,2082789969,13,4.42213e7,3.7909348,SqEuclidean,centered,8203.822395,7
cross_scenario,k_medoids,2422820678,13,9.55545e7,5.8375625,SqEuclidean,centered,1.377767934619e6,324
cross_scenario,k_medoids,373102896,13,9.42309e7,5.3418763,SqEuclidean,centered,1.3465871267149998e6,293
cross_scenario,k_medoids,3777256655,13,1.08606e8,4.7221298,SqEuclidean,centered,1.7190021524989998e6,490
cross_scenario,k_medoids,4101453586,13,9.72644e7,6.3046563,SqEuclidean,centered,1.4217303602120003e6,298
cross_scenario,k_medoids,419645993,13,9.78592e7,4.6289171,SqEuclidean,centered,1.4345796528650003e6,345
cross_scenario,k_medoids,772616242,13,4.89312e7,4.3469916,SqEuclidean,centered,143393.33939400004,87
cross_scenario,k_medoids,1536731824,15,1.08717e8,7.241365,SqEuclidean,centered,1.718836397084e6,440
cross_scenario,k_medoids,1944031661,15,4.42253e7,4.9615327,SqEuclidean,centered,7243.098533999999,7
cross_scenario,k_medoids,195370354,15,1.11485e8,5.4986939,SqEuclidean,centered,1.786002850528e6,485
cross_scenario,k_medoids,2392820273,15,9.50487e7,5.8039767,SqEuclidean,centered,1.367494314164e6,319
cross_scenario,k_medoids,2931326369,15,4.42208e7,5.5121065,SqEuclidean,centered,8287.533422999999,7
cross_scenario,k_medoids,3012361418,15,4.4293e7,5.7359894,SqEuclidean,centered,10376.681539,7
cross_scenario,k_medoids,3763622817,15,4.42186e7,4.8214658,SqEuclidean,centered,7407.736509,7
