location,time_step,demand,scenario,period,timestep
GER,3581,27128.96092699,1900,150,5
GER,3582,27166.5234855455,1900,150,6
GER,3583,29091.5919404128,1900,150,7
GER,3584,32590.2033329626,1900,150,8
GER,3585,36934.3329889684,1900,150,9
GER,3586,40171.9466336844,1900,150,10
GER,3587,41968.1590994167,1900,150,11
GER,3588,42863.2119286639,1900,150,12
GER,3589,41601.1677335675,1900,150,13
GER,3590,39757.7288641882,1900,150,14
GER,3591,37674.6864920621,1900,150,15
GER,3592,36651.2385312436,1900,150,16
GER,3593,36292.5877598936,1900,150,17
GER,3594,36549.5044158856,1900,150,18
GER,3595,36780.8305205579,1900,150,19
GER,3596,36021.4653094046,1900,150,20
GER,3597,33635.183110176,1900,150,21
GER,3598,32645.447044853,1900,150,22
GER,3599,32430.3748069909,1900,150,23
GER,3600,28846.7960414229,1900,150,24
GER,7177,37292.9097622407,1900,300,1
GER,7178,35482.3791968935,1900,300,2
GER,7179,34615.864865678,1900,300,3
GER,7180,35305.8470846955,1900,300,4
GER,7181,37093.7729283588,1900,300,5
GER,7182,41483.3945963053,1900,300,6
GER,7183,50249.7209483787,1900,300,7
GER,7184,55928.8881676248,1900,300,8
GER,7185,57683.4451364214,1900,300,9
GER,7186,57483.2318872213,1900,300,10
GER,7187,57857.8244179828,1900,300,11
GER,7188,58482.1453025853,1900,300,12
GER,7189,57211.9752270147,1900,300,13
GER,7190,56683.4553057392,1900,300,14
GER,7191,56009.6193164958,1900,300,15
GER,7192,55685.6183056935,1900,300,16
GER,7193,55952.5693046269,1900,300,17
GER,7194,60692.0259510144,1900,300,18
GER,7195,62053.6913286388,1900,300,19
GER,7196,59748.0097168827,1900,300,20
GER,7197,54976.2606109468,1900,300,21
